Data,Nuovi Casi,Incidenza Settimanale per 100.000 abitanti
09/07/2021,0,19.94
10/07/2021,0,19.94
11/07/2021,0,19.94
12/07/2021,0,9.97
13/07/2021,0,9.97
14/07/2021,0,0.00
15/07/2021,0,0.00
16/07/2021,0,0.00
17/07/2021,0,0.00
18/07/2021,0,0.00
19/07/2021,0,0.00
20/07/2021,0,0.00
21/07/2021,0,0.00
22/07/2021,0,0.00
23/07/2021,0,0.00
24/07/2021,2,19.94
25/07/2021,0,19.94
26/07/2021,2,39.89
27/07/2021,0,39.89
28/07/2021,0,39.98
29/07/2021,6,99.72
30/07/2021,2,119.66
31/07/2021,0,99.72
01/08/2021,0,99.72
02/08/2021,2,99.72
03/08/2021,1,109.69
04/08/2021,0,109.69
